ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
200,2025-06-11T17:08:40.586116,NYC_GOID_000412,PrincipalOfficerGivenName,,Edwina,System_NameParseRule,Parsed from: 'Edwina Frances Martin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
201,2025-06-11T17:08:40.586143,NYC_GOID_000412,PrincipalOfficerMiddleNameOrInitial,,Frances,System_NameParseRule,Parsed from: 'Edwina Frances Martin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
202,2025-06-11T17:08:40.586171,NYC_GOID_000412,PrincipalOfficerFamilyName,,Martin,System_NameParseRule,Parsed from: 'Edwina Frances Martin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
203,2025-06-11T17:08:40.586269,NYC_GOID_000414,PrincipalOfficerFullName,,Shelton J. Haynes,System_NameParseRule,Parsed from: 'Shelton J. Haynes',v0_6_pipeline_run,NAME_PARSE_SUCCESS
204,2025-06-11T17:08:40.586300,NYC_GOID_000414,PrincipalOfficerGivenName,,Shelton,System_NameParseRule,Parsed from: 'Shelton J. Haynes',v0_6_pipeline_run,NAME_PARSE_SUCCESS
205,2025-06-11T17:08:40.586327,NYC_GOID_000414,PrincipalOfficerMiddleNameOrInitial,,J.,System_NameParseRule,Parsed from: 'Shelton J. Haynes',v0_6_pipeline_run,NAME_PARSE_SUCCESS
206,2025-06-11T17:08:40.586354,NYC_GOID_000414,PrincipalOfficerFamilyName,,Haynes,System_NameParseRule,Parsed from: 'Shelton J. Haynes',v0_6_pipeline_run,NAME_PARSE_SUCCESS
207,2025-06-11T17:08:40.586910,NYC_GOID_000444,PrincipalOfficerFullName,,Tom Harris,System_NameParseRule,Parsed from: 'Tom Harris',v0_6_pipeline_run,NAME_PARSE_SUCCESS
208,2025-06-11T17:08:40.586942,NYC_GOID_000444,PrincipalOfficerGivenName,,Tom,System_NameParseRule,Parsed from: 'Tom Harris',v0_6_pipeline_run,NAME_PARSE_SUCCESS
209,2025-06-11T17:08:40.586970,NYC_GOID_000444,PrincipalOfficerFamilyName,,Harris,System_NameParseRule,Parsed from: 'Tom Harris',v0_6_pipeline_run,NAME_PARSE_SUCCESS
210,2025-06-11T17:08:40.587178,NYC_GOID_000451,PrincipalOfficerFullName,,Julie Stein,System_NameParseRule,Parsed from: 'Julie Stein',v0_6_pipeline_run,NAME_PARSE_SUCCESS
211,2025-06-11T17:08:40.587210,NYC_GOID_000451,PrincipalOfficerGivenName,,Julie,System_NameParseRule,Parsed from: 'Julie Stein',v0_6_pipeline_run,NAME_PARSE_SUCCESS
212,2025-06-11T17:08:40.587238,NYC_GOID_000451,PrincipalOfficerFamilyName,,Stein,System_NameParseRule,Parsed from: 'Julie Stein',v0_6_pipeline_run,NAME_PARSE_SUCCESS
213,2025-06-11T17:08:40.587370,NYC_GOID_000457,PrincipalOfficerFullName,,Scott Hobbs,System_NameParseRule,Parsed from: 'Scott Hobbs',v0_6_pipeline_run,NAME_PARSE_SUCCESS
214,2025-06-11T17:08:40.587402,NYC_GOID_000457,PrincipalOfficerGivenName,,Scott,System_NameParseRule,Parsed from: 'Scott Hobbs',v0_6_pipeline_run,NAME_PARSE_SUCCESS
215,2025-06-11T17:08:40.587429,NYC_GOID_000457,PrincipalOfficerFamilyName,,Hobbs,System_NameParseRule,Parsed from: 'Scott Hobbs',v0_6_pipeline_run,NAME_PARSE_SUCCESS
